"","GSM230349","GSM230350","GSM230351","GSM230352","GSM230353","GSM230354","GSM230355","GSM230356","GSM230357","GSM230358","GSM230359","GSM230360"
"ABHD17C",5.24224621479853,4.652017180113,5.00822694085086,4.73313352175236,5.33769849187376,5.05658249996815,5.13416400509826,5.1408229338838,5.27046054107458,5.26700648911694,4.7809568189521,4.80137286348775
"ABHD18",4.27756975374855,4.24077835928151,4.60702870595417,4.39510262215862,4.10025925362825,4.34307596726149,4.31610881949566,4.37515907425574,4.34210183134696,4.24389500871661,4.44161726788902,4.2982656641924
"ABHD2",6.7174527151149,6.70260330731512,6.60504569559691,6.74582608376361,6.88051804095131,6.75256733968678,6.86557280491543,6.89713542129726,6.56271788531655,6.80904927957472,6.66537367592949,6.72595602155386
"ABHD3",8.07278223539271,8.08769865143523,8.27328332755258,8.3353764978056,8.30833994611401,8.3123046333916,8.21224222764104,8.2923393681652,8.53813772148622,8.38171753128898,8.27734297351033,8.17845624043154
"ABHD4",4.86235800832493,4.84953541458539,4.83492332087636,4.84653419877488,4.8850481760709,4.9970800399776,4.93531372781649,4.98884538962128,4.98408688208371,4.88223545768607,4.7937494833874,4.8306075763348
"ABHD5",2.62308119048184,2.55821348905565,2.70395673065529,2.64670267854334,2.61815867766218,2.63163078891287,2.39296473000768,2.53496973394342,2.65214047220754,2.63601355654165,2.55329077817196,2.52505524114735
"ABHD6",4.57953227875938,4.7058778766076,4.60053010860586,4.93251521788334,4.80445625962268,4.73168519157916,4.72231165331216,4.6441671549074,4.700707355779,4.9331072496206,4.8010933468617,4.71734323191981
"ABHD8",5.55069306943415,5.50072676568039,5.51127166927782,5.46617462525492,5.3694225324827,5.598602790872,5.60024318842085,5.5242759640491,5.83553058037674,5.83087703556918,5.5794890045753,5.84322501342222
"ABI1",6.10270936179316,6.05270303616053,6.16996148793127,5.94228359988756,5.90437901103036,5.83838773609842,5.78546270457942,5.96877959338519,5.95570966530816,5.9315673779602,5.82217046333999,5.91470146378446
"ABI2",4.31538944174671,4.37078563432214,4.39023427179799,4.23297511186138,4.43245647510266,4.34612482071497,4.40100693830998,4.42187444446388,4.2482518320536,4.43701988570254,4.29408512160604,4.26991629368813
